Symbol,Date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,Property Plant & Equipment Net,Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
NEE,2018-12-31,638000000,564000000,1202000000,2302000000,1223000000,6393000000,70334000000,0,1355000000,235000000,26975000000,1.03702E+11,2386000000,2716000000,17563000000,26782000000,29498000000,860000000,0,445000000,21476000000,69558000000,10490000000,23837000000,34144000000,1919000000,28860000000,70334000000,30519000000
NEE,2017-12-31,1714000000,1482000000,1714000000,2220000000,1273000000,7157000000,72416000000,0,0,417000000,18254000000,97827000000,3235000000,1676000000,11232000000,31463000000,33139000000,0,0,448000000,25634000000,69619000000,9100000000,18992000000,28208000000,1482000000,31425000000,72416000000,32753000000
NEE,2016-12-31,1292000000,2516000000,1292000000,1784000000,1289000000,7409000000,66912000000,0,0,461000000,15672000000,89993000000,3447000000,2604000000,10919000000,27818000000,30422000000,0,0,470000000,25925000000,65652000000,8948000000,15458000000,24341000000,2516000000,29130000000,66912000000,28808000000
NEE,2015-12-31,571000000,2705000000,571000000,1784000000,1259000000,6795000000,61386000000,0,0,0,14298000000,82479000000,2529000000,2220000000,10107000000,26681000000,28901000000,0,0,473000000,22579000000,59905000000,8596000000,14140000000,22574000000,2705000000,28330000000,61386000000,27219000000
NEE,2014-12-31,577000000,2831000000,577000000,1805000000,1292000000,6944000000,55705000000,0,0,739000000,12280000000,74929000000,1354000000,3515000000,9663000000,24367000000,27882000000,0,0,462000000,20731000000,55013000000,7179000000,12773000000,19916000000,2831000000,27305000000,55705000000,24619000000
NEE,2013-12-31,438000000,2071000000,438000000,1777000000,1153000000,5842000000,52720000000,0,0,753000000,10744000000,69306000000,1200000000,3766000000,9189000000,23969000000,27735000000,0,0,452000000,18108000000,51266000000,6411000000,11569000000,18040000000,2071000000,27297000000,52720000000,23969000000
NEE,2012-12-31,329000000,2006000000,329000000,1487000000,1073000000,5237000000,49413000000,0,0,397000000,9789000000,64439000000,1281000000,2771000000,8879000000,23177000000,25948000000,0,0,508000000,16315000000,48371000000,5536000000,10783000000,16068000000,2006000000,25619000000,49413000000,23177000000
NEE,2011-12-31,377000000,1739000000,377000000,1372000000,1074000000,4872000000,42490000000,0,0,153000000,9826000000,57188000000,1191000000,808000000,6719000000,20810000000,21618000000,0,0,547000000,14716000000,42245000000,5217000000,9876000000,14943000000,1739000000,21241000000,42490000000,20810000000
NEE,2010-12-31,302000000,2265000000,302000000,1509000000,857000000,5258000000,39075000000,0,0,106000000,8661000000,52994000000,1124000000,1920000000,6904000000,18013000000,19933000000,0,264000000,634000000,13616000000,52990000000,0,8873000000,4000000,2265000000,19631000000,39075000000,32470000000
NEE,2009-12-31,238000000,0,238000000,2247000000,2291000000,4337000000,36078000000,0,4325000000,0,44121000000,48458000000,992000000,2589000000,6449000000,16300000000,18889000000,377000000,5326000000,613000000,29042000000,35491000000,169000000,7739000000,12967000000,4325000000,18651000000,-439000000,2868000000
NFLX,2019-12-31,5018437000,0,5018437000,0,0,6178504000,565221000,0,0,658206000,27797208000,33975712000,674347000,190622000,6855696000,14759000000,14949622000,925000000,66768000,0,16613365000,26393555000,0,4811749000,7582157000,0,9931185000,0,2924494000
NFLX,2018-12-31,3794483000,0,3794483000,0,0,9694135000,418281000,0,0,564425000,16280265000,25974400000,562985000,28000000,6487320000,10360058000,10388058000,760899000,48000000,0,10489289000,20735635000,0,2942359000,5238765000,0,6593575000,0,3759026000
NFLX,2017-12-31,2822795000,0,2822795000,0,0,7669974000,319404000,0,0,43600000,11342768000,19012742000,359555000,29500000,5466312000,6499432000,6528932000,618622000,42902000,0,6634678000,15430786000,0,1731117000,3581956000,0,3706137000,0,3329796000
NFLX,2016-12-31,1467576000,266206000,1733782000,0,0,5720291000,250395000,0,0,227248000,7866319000,13586610000,312842000,29200000,4586657000,3364300000,3393500000,443472000,19700000,0,3425488000,10906810000,0,1128603000,2679800000,266206000,1925924000,0,2894665000
NFLX,2015-12-31,1809330000,501385000,2310715000,0,0,5431840000,173412000,0,0,0,4771031000,10202871000,253491000,29000000,3529624000,2371400000,2400400000,346721000,17117000,0,2423499000,7979445000,0,941925000,2223426000,501385000,591070000,0,2026322000
NFLX,2014-12-31,1113608000,494888000,1608496000,0,0,3940469000,149875000,0,0,106900000,3116182000,7056651000,201581000,29600000,2663154000,900000000,929600000,274586000,34812000,0,973357000,5198943000,1042810000,819284000,1857708000,494888000,-184008000,0,1562432000
NFLX,2013-12-31,604965000,595440000,1200405000,0,0,3058763000,133605000,0,0,69100000,2353800000,5412563000,108435000,30600000,2154203000,500000000,530600000,215767000,68231000,0,600709000,4079002000,777441000,552485000,1333561000,595440000,-74365000,0,1324090000
NFLX,2012-12-31,290291000,457787000,748078000,0,0,2240791000,131681000,0,0,67862000,1727099000,3967890000,86468000,0,1675926000,200000000,200000000,169472000,43337000,0,270669000,3223217000,301616000,440082000,744673000,457787000,-90291000,0,1276622000
NFLX,2011-12-31,508053000,289758000,797811000,0,0,1830857000,136353000,0,0,38328000,1238339000,3069196000,87860000,7155000,1225055000,200000000,207155000,148796000,14557000,0,261703000,2426386000,219119000,422930000,642810000,289758000,-300898000,0,939628000
NFLX,2010-12-31,194499000,155888000,350387000,0,0,640967000,128570000,0,0,17467000,341100000,982067000,222824000,2083000,388579000,34123000,36206000,127183000,0,0,103324000,691903000,51622000,237739000,290164000,155888000,-158293000,0,200000000
NFLX,2009-12-31,134224000,186018000,320242000,0,0,411013000,131653000,146139000,0,15958000,268721000,679734000,92542000,1410000,227436000,236572000,237982000,100097000,0,0,253155000,480591000,273000,198817000,199143000,186018000,-82260000,90771000,133484000
NKE,2019-05-31,4466000000,197000000,4663000000,4272000000,5622000000,16525000000,4744000000,437000000,0,2011000000,7192000000,23717000000,2612000000,6000000,7866000000,3464000000,3470000000,0,229000000,0,6811000000,14677000000,7166000000,1643000000,9040000000,197000000,-996000000,0,0
NKE,2018-05-31,4249000000,996000000,5245000000,3498000000,5261000000,15134000000,4454000000,439000000,0,2509000000,7402000000,22536000000,2279000000,6000000,6040000000,3468000000,3474000000,0,150000000,0,6684000000,12724000000,6387000000,3517000000,9812000000,996000000,-775000000,0,0
NKE,2017-05-31,3808000000,2371000000,6179000000,3677000000,5055000000,16061000000,3989000000,422000000,0,2787000000,7198000000,23259000000,2048000000,6000000,5474000000,3471000000,3477000000,0,84000000,0,5378000000,10852000000,8641000000,3979000000,12407000000,2371000000,-331000000,0,0
NKE,2016-05-31,3138000000,2319000000,5457000000,3241000000,4838000000,15025000000,3520000000,412000000,0,2439000000,6371000000,21396000000,2191000000,44000000,5358000000,2010000000,2054000000,0,85000000,0,3780000000,9138000000,7789000000,4151000000,12258000000,2319000000,-1084000000,0,0
NKE,2015-05-31,3852000000,2072000000,5924000000,3358000000,4337000000,15976000000,3011000000,412000000,0,389000000,5624000000,21600000000,2131000000,107000000,6334000000,1079000000,1186000000,0,71000000,0,2559000000,8893000000,6776000000,4685000000,12707000000,2072000000,-2666000000,0,0
NKE,2014-05-31,2220000000,2922000000,5142000000,3434000000,3947000000,13696000000,2834000000,413000000,0,355000000,4898000000,18594000000,1930000000,7000000,5027000000,1199000000,1206000000,0,432000000,0,2743000000,7770000000,5868000000,4871000000,10824000000,2922000000,-1014000000,0,0
NKE,2013-05-31,3337000000,2628000000,5965000000,3117000000,3434000000,13626000000,2452000000,513000000,0,308000000,3958000000,17584000000,1646000000,57000000,3926000000,1210000000,1267000000,0,98000000,0,2502000000,6428000000,5187000000,5695000000,11156000000,2628000000,-2070000000,0,0
NKE,2012-05-31,2317000000,1440000000,3757000000,3280000000,3350000000,11531000000,2279000000,736000000,0,274000000,3934000000,15465000000,1588000000,49000000,3865000000,228000000,277000000,0,67000000,0,1219000000,5084000000,4641000000,5588000000,10381000000,1440000000,-2040000000,0,0
NKE,2011-05-31,1955000000,2583000000,4538000000,3138000000,2715000000,11297000000,2115000000,692000000,0,312000000,3701000000,14998000000,1469000000,200000000,3958000000,276000000,476000000,0,117000000,0,1197000000,5155000000,3944000000,5801000000,9843000000,2583000000,-1479000000,0,0
NKE,2010-05-31,3079100000,2066800000,5145900000,2649800000,2040800000,10959200000,1931900000,654600000,0,248800000,3460100000,14419300000,1254500000,7400000,3364200000,445800000,453200000,0,59300000,0,694600000,4665600000,3443300000,6095500000,9753700000,2066800000,-2625900000,0,606800000
NKE,2009-05-31,2291100000,1164000000,3455100000,2883900000,2357000000,3515600000,1957700000,660900000,0,1169400000,1279500000,13249600000,1031900000,374900000,3277000000,437200000,812100000,0,928300000,0,1279500000,4556500000,367500000,5451400000,8693100000,1164000000,-2643000000,1038000000,1870200000
NVDA,2019-01-27,782000000,6640000000,7422000000,1424000000,1575000000,10557000000,1404000000,663000000,6640000000,560000000,2735000000,13292000000,511000000,0,1329000000,1988000000,1988000000,92000000,91000000,0,2686000000,3950000000,0,12565000000,9342000000,13280000000,1206000000,0,0
NVDA,2018-01-28,4002000000,3106000000,7108000000,1265000000,796000000,9255000000,997000000,670000000,3106000000,257000000,1986000000,11241000000,596000000,15000000,1153000000,1985000000,2000000000,53000000,33000000,0,2650000000,3770000000,0,8787000000,7471000000,6212000000,-2002000000,0,0
NVDA,2017-01-29,1766000000,5032000000,6798000000,826000000,794000000,8536000000,521000000,722000000,795000000,704000000,1305000000,9841000000,485000000,796000000,1788000000,6000000,802000000,85000000,224000000,0,287000000,4079000000,0,6108000000,5762000000,5827000000,-964000000,0,2004000000
NVDA,2016-01-31,596000000,4441000000,5037000000,505000000,418000000,6053000000,466000000,784000000,1850000000,0,1317000000,7370000000,296000000,1410000000,2351000000,10000000,1420000000,322000000,230000000,0,507000000,2901000000,122000000,4350000000,4469000000,6291000000,824000000,0,43000000
NVDA,2015-01-25,496654000,4126685000,4623339000,473637000,482893000,5713297000,557282000,839893000,2000000000,63254000,1488071000,7201368000,293223000,14086000,896030000,14086000,28172000,292735000,253735000,0,674106000,2783386000,460507000,3948877000,4417982000,6126685000,-468482000,0,1213250000
NVDA,2014-01-26,1151587000,3520223000,4671810000,426357000,387765000,5624711000,582740000,939191000,0,68494000,1626183000,7250894000,324391000,17500000,945496000,17500000,35000000,273108000,237738000,0,733318000,2794496000,946047000,3504742000,4456398000,3520223000,-1116587000,0,1115682000
NVDA,2013-01-27,732786000,2995097000,3727883000,454252000,419686000,4775258000,576144000,953362000,10030000,103736000,1636987000,6412245000,356428000,18998000,976223000,18998000,37996000,273605000,220543000,0,948207000,1584542000,1570914000,3246088000,4827703000,3005127000,-694790000,0,-339888000
NVDA,2012-01-29,667876000,2461700000,3129576000,336143000,340297000,3905358000,560072000,967166000,10382000,49931000,1647570000,5552928000,335072000,21439000,929958000,21439000,42878000,270649000,138262000,0,727547000,1407204000,1403992000,2730418000,4145724000,2472082000,-624998000,0,-250301000
NVDA,2011-01-30,665361000,1825202000,2490563000,348770000,345525000,3226950000,568857000,658589000,0,9456000,1268296000,4495246000,286138000,23389000,942682000,23389000,46778000,245596000,121034000,0,543558000,1313784000,1021185000,2149328000,3181462000,1825202000,-618583000,0,-172456000
NVDA,2010-01-31,447221000,1281006000,1728227000,374963000,330674000,2480830000,571858000,490302000,0,8752000,1105088000,3585918000,344527000,24450000,784378000,24450000,48900000,0,0,0,145152000,920778000,756786000,1896182000,2665140000,1281006000,-398321000,0,-8752000
ORCL,2019-05-31,20514000000,17313000000,37827000000,5134000000,0,46386000000,6252000000,49058000000,0,2696000000,62323000000,1.08709E+11,580000000,4494000000,18630000000,51673000000,56167000000,8374000000,6348000000,0,67716000000,86924000000,26908999999.99,-3496000000,21785000000,17313000000,35653000000,0,578000000
ORCL,2018-05-31,21620000000,45641000000,67261000000,5279000000,0,75964000000,5897000000,50425000000,0,1491000000,61300000000,1.37264E+11,529000000,4491000000,19195000000,56128000000,60619000000,8429000000,5585000000,0,71845000000,91538000000,28949999999.99,18412000000,45726000000,45641000000,38999000000,0,498000000
ORCL,2017-05-31,21784000000,44294000000,66078000000,5300000000,300000000,74515000000,5315000000,50724000000,0,1143000000,60476000000,1.34991E+11,599000000,9797000000,24178000000,48112000000,57909000000,8233000000,4919000000,0,56567000000,81131000000,27064999999.99,27598000000,53860000000,44294000000,36125000000,0,386000000
ORCL,2016-05-31,20152000000,35973000000,56125000000,5385000000,212000000,64313000000,4000000000,39533000000,0,1291000000,47867000000,1.1218E+11,504000000,3750000000,17208000000,40105000000,43855000000,7655000000,4561000000,0,47182000000,64891000000,24216999999.99,23888000000,47289000000,35973000000,23703000000,0,501000000
ORCL,2015-05-31,21716000000,32652000000,54368000000,5618000000,314000000,63183000000,3686000000,40493000000,0,795000000,47720000000,1.10903E+11,806000000,1999000000,15291000000,39959000000,41958000000,7245000000,532000000,0,46514000000,62240000000,23155999999.99,26503000000,48663000000,32652000000,20242000000,0,435000000
ORCL,2014-05-31,17769000000,21050000000,38819000000,6087000000,189000000,48138000000,3061000000,35789000000,0,837000000,42206000000,90344000000,471000000,1508000000,14389000000,22667000000,24175000000,7269000000,416000000,0,28508000000,43466000000,21076999999.99,25965000000,46878000000,21050000000,6406000000,0,569000000
ORCL,2013-05-31,14613000000,17603000000,32216000000,6049000000,240000000,41692000000,3053000000,33983000000,0,766000000,40120000000,81812000000,419000000,2573000000,12872000000,18494000000,21067000000,7118000000,911000000,0,23795000000,37164000000,18892999999.99,25854000000,44648000000,17603000000,6454000000,0,497000000
ORCL,2012-05-31,14955000000,15721000000,30676000000,6377000000,158000000,40023000000,3021000000,33018000000,0,595000000,38304000000,78327000000,438000000,2950000000,15388000000,13524000000,16474000000,7035000000,3276000000,0,18852000000,34639000000,0,26087000000,43688000000,15721000000,1519000000,0,399000000
ORCL,2011-05-31,16163000000,12685000000,28848000000,6628000000,303000000,39174000000,2857000000,29413000000,0,1076000000,34361000000,73535000000,701000000,3219000000,14192000000,14772000000,17991000000,6802000000,3160000000,0,19098000000,33759000000,0,22581000000,39776000000,12685000000,1828000000,0,469000000
